name;origin;destination;length;oneway;harassmentRisk;geometry
Calle 30A;(-75.6075455, 6.2317845);(-75.6079076, 6.2317608);40.113;True;0.8310521911719851;LINESTRING (-75.6075455 6.2317845, -75.6077377 6.2317728, -75.6079076 6.2317608)
Calle 31B;(-75.6113615, 6.2333182);(-75.6107533, 6.233272);67.425;False;0.9668789518093202;LINESTRING (-75.6113615 6.2333182, -75.6107533 6.233272)
Calle 31B;(-75.6113615, 6.2333182);(-75.6114546, 6.2333022);10.482;False;0.9668789518093202;LINESTRING (-75.6113615 6.2333182, -75.61140570000001 6.2333147, -75.6114546 6.2333022)
Calle 31;(-75.6096923, 6.2325284);(-75.6088979, 6.2324933);87.898;False;0.8310521911719851;LINESTRING (-75.60969230000001 6.2325284, -75.6088979 6.2324933)
Carrera 87;(-75.6096923, 6.2325284);(-75.6097905, 6.231807);80.947;False;0.8310521911719851;LINESTRING (-75.60969230000001 6.2325284, -75.6097905 6.231807)
Carrera 87;(-75.6096923, 6.2325284);(-75.6096717, 6.2327047);19.735;False;0.8310521911719851;LINESTRING (-75.60969230000001 6.2325284, -75.60967170000001 6.2327047)
Carrera 87;(-75.6098195, 6.2316174);(-75.6097982, 6.2317563);15.623;False;0.8310521911719851;LINESTRING (-75.6098195 6.2316174, -75.6097982 6.2317563)
Carrera 87;(-75.6098195, 6.2316174);(-75.6098591, 6.231075);60.885000000000005;False;0.8310521911719851;LINESTRING (-75.6098195 6.2316174, -75.60987179999999 6.2313414, -75.6098681 6.231264, -75.6098653 6.2312053, -75.60986080000001 6.2311121, -75.60985909999999 6.231075)
Calle 9;(-75.5682963, 6.2089217);(-75.568086, 6.2087822);28.518;True;0.3021730539710254;LINESTRING (-75.5682963 6.2089217, -75.5681891 6.2088657, -75.56811500000001 6.2088259, -75.56808599999999 6.2087822)
Carrera 40;(-75.5681692, 6.2092389);(-75.5682963, 6.2089217);37.966;True;0.3021730539710254;LINESTRING (-75.5681692 6.2092389, -75.5682963 6.2089217)
Acceso Pueblito Paisa;(-75.5808252, 6.2339338);(-75.5820215, 6.2354573);225.159;False;;LINESTRING (-75.58082520000001 6.2339338, -75.58122400000001 6.2343655, -75.5815703 6.2346007, -75.5818407 6.2348174, -75.58191170000001 6.2349047, -75.58194880000001 6.2350189, -75.5820215 6.2354573)
Acceso Pueblito Paisa;(-75.5808252, 6.2339338);(-75.5802354, 6.2336293);73.926;False;;LINESTRING (-75.58082520000001 6.2339338, -75.5805988 6.233776, -75.5802745 6.2336428, -75.58023540000001 6.2336293)
;(-75.5808252, 6.2339338);(-75.5800098, 6.2382848);888.9300000000001;False;;LINESTRING (-75.58082520000001 6.2339338, -75.58090420000001 6.2339114, -75.581005 6.2339218, -75.58110569999999 6.2339523, -75.5815382 6.2341119, -75.5816109 6.2341404, -75.58177480000001 6.2342412, -75.5818965 6.2342866, -75.5819894 6.2343101, -75.58211609999999 6.2343303, -75.58219889999999 6.234379, -75.5823121 6.2344982, -75.5823898 6.2346796, -75.58240840000001 6.2347468, -75.5824118 6.2349349, -75.58243210000001 6.2351365, -75.5824219 6.2352306, -75.5823865 6.2353784, -75.58236960000001 6.2354842, -75.5823594 6.2357865, -75.5823087 6.2361477, -75.5822986 6.2362249, -75.58223099999999 6.2364215, -75.58220900000001 6.2366281, -75.58217569999999 6.2370262, -75.5821797 6.2371529, -75.5821972 6.2372728, -75.5821905 6.2373715, -75.5821408 6.2374675, -75.5820496 6.2375435, -75.5819477 6.2375861, -75.5818766 6.2376141, -75.5816634 6.2377514, -75.5815963 6.2377848, -75.5812329 6.2379421, -75.58110550000001 6.2380127, -75.58103439999999 6.2380781, -75.5809043 6.2382514, -75.5808534 6.2383554, -75.5808346 6.2384474, -75.5808286 6.2386538, -75.5808201 6.2387445, -75.580788 6.2387965, -75.5806613 6.2389057, -75.5805244 6.2389544, -75.5804163 6.2389527, -75.5803504 6.2389309, -75.5802777 6.2388906, -75.5800564 6.2386638, -75.57999220000001 6.238558, -75.5799719 6.238432, -75.579982 6.2383565, -75.5800098 6.2382848)
Acceso al Cerro Nutibara;(-75.5818316, 6.23699);(-75.5805207, 6.238838);282.362;False;;LINESTRING (-75.5818316 6.23699, -75.5818824 6.2372746, -75.5818136 6.2374622, -75.5816365 6.2375582, -75.5813737 6.2376489, -75.5810563 6.2378185, -75.58083190000001 6.2380382, -75.58070309999999 6.2385714, -75.58064950000001 6.2387527, -75.5806066 6.2388167, -75.58052069999999 6.238838)
Acceso Pueblito Paisa;(-75.5818316, 6.23699);(-75.5805102, 6.2376569);171.253;False;;LINESTRING (-75.5818316 6.23699, -75.5817545 6.2371555, -75.58168019999999 6.2372495, -75.58158830000001 6.2373076, -75.58088549999999 6.2375475, -75.58061910000001 6.2376455, -75.58051020000001 6.2376569)
Acceso Pueblito Paisa;(-75.5818316, 6.23699);(-75.5820215, 6.2354573);174.24200000000002;False;;LINESTRING (-75.5818316 6.23699, -75.581839 6.2365962, -75.5818627 6.2364847, -75.58203159999999 6.2360032, -75.5820519 6.235889, -75.5820502 6.2357177, -75.5820215 6.2354573)
;(-75.5802684, 6.2375316);(-75.5802499, 6.2377315);22.322;False;;LINESTRING (-75.58026839999999 6.2375316, -75.5802499 6.2377315)
Acceso Pueblito Paisa;(-75.5802684, 6.2375316);(-75.5798261, 6.2371955);63.739;False;;LINESTRING (-75.58026839999999 6.2375316, -75.580168 6.2374621, -75.5800649 6.2374111, -75.5799629 6.2373662, -75.57987439999999 6.2373035, -75.57982610000001 6.2371955)
Acceso Pueblito Paisa;(-75.5802684, 6.2375316);(-75.5805102, 6.2376569);30.401;False;;LINESTRING (-75.58026839999999 6.2375316, -75.580415 6.2376269, -75.58051020000001 6.2376569)
;(-75.5802684, 6.2375316);(-75.5811347, 6.2371032);108.546;False;;LINESTRING (-75.58026839999999 6.2375316, -75.5808529 6.2373199, -75.5810144 6.2372277, -75.58113470000001 6.2371032)
Acceso Pueblito Paisa;(-75.5792186, 6.2364929);(-75.5798998, 6.2352691);224.263;False;;LINESTRING (-75.5792186 6.2364929, -75.57919579999999 6.2364116, -75.5791985 6.2354997, -75.57923599999999 6.2352771, -75.57927359999999 6.2351851, -75.57937010000001 6.2351251, -75.5794854 6.2351051, -75.5797268 6.2351318, -75.5798301 6.2351851, -75.57989980000001 6.2352691)
Acceso Pueblito Paisa;(-75.5792186, 6.2364929);(-75.5797376, 6.2367022);63.966;False;;LINESTRING (-75.5792186 6.2364929, -75.57927220000001 6.2365476, -75.57935670000001 6.2365863, -75.57956590000001 6.2366089, -75.57964370000001 6.2366329, -75.5797376 6.2367022)
;(-75.5792186, 6.2364929);(-75.5789774, 6.2376565);182.00600000000003;False;;LINESTRING (-75.5792186 6.2364929, -75.5791797 6.2366099, -75.5790083 6.2366173, -75.5789705 6.2366472, -75.57900170000001 6.2369564, -75.5790152 6.2370012, -75.5790219 6.2370606, -75.578974 6.2370891, -75.5788682 6.2370412, -75.5788685 6.237083, -75.5788687 6.2371171, -75.578808 6.2371584, -75.57877689999999 6.2373194, -75.5789269 6.2375341, -75.5789774 6.2376565)
Acceso Pueblito Paisa;(-75.5800215, 6.2355198);(-75.5802038, 6.2358444);43.28;False;;LINESTRING (-75.5800215 6.2355198, -75.5801443 6.2356454, -75.58019160000001 6.2357143, -75.58020380000001 6.2358444)
Acceso Pueblito Paisa;(-75.5800215, 6.2355198);(-75.5798998, 6.2352691);31.148000000000003;False;;LINESTRING (-75.5800215 6.2355198, -75.5799495 6.2353384, -75.57989980000001 6.2352691)
;(-75.5800215, 6.2355198);(-75.5800609, 6.2358359);37.048;False;;LINESTRING (-75.5800215 6.2355198, -75.58000440000001 6.2356063, -75.58000440000001 6.2357016, -75.5800084 6.2357271, -75.58002999999999 6.2358031, -75.58006090000001 6.2358359)
Carrera 43E;(-75.5736973, 6.2109569);(-75.5738684, 6.210466);57.77;False;0.5265393126661695;LINESTRING (-75.57369730000001 6.2109569, -75.57386839999999 6.210466)
Calle 9;(-75.5736973, 6.2109569);(-75.573347, 6.2108221);41.523;False;0.5265393126661695;LINESTRING (-75.57369730000001 6.2109569, -75.573347 6.2108221)
Carrera 43E;(-75.5736973, 6.2109569);(-75.5733588, 6.211705);92.175;False;0.5265393126661695;LINESTRING (-75.57369730000001 6.2109569, -75.5735246 6.2114523, -75.5734392 6.21162, -75.57335879999999 6.211705)
;(-75.5684027, 6.2078564);(-75.5688455, 6.2080328);52.732;False;0.3021730539710254;LINESTRING (-75.56840269999999 6.2078564, -75.56884549999999 6.2080328)
Calle 8;(-75.5684027, 6.2078564);(-75.5681183, 6.2075761);44.27;True;0.3021730539710254;LINESTRING (-75.56840269999999 6.2078564, -75.56811829999999 6.2075761)
Carrera 39;(-75.5684027, 6.2078564);(-75.5685931, 6.2073652);58.551;False;0.3021730539710254;LINESTRING (-75.56840269999999 6.2078564, -75.568451 6.2077426, -75.5685577 6.2074687, -75.5685931 6.2073652)
Carrera 39;(-75.568086, 6.2087822);(-75.5684027, 6.2078564);108.734;True;0.3021730539710254;LINESTRING (-75.56808599999999 6.2087822, -75.56840269999999 6.2078564)
Calle 9;(-75.568086, 6.2087822);(-75.5677264, 6.2087248);41.06;True;0.3021730539710254;LINESTRING (-75.56808599999999 6.2087822, -75.56805110000001 6.2087715, -75.56800819999999 6.2087715, -75.5679504 6.2087787, -75.5678794 6.20878, -75.5677264 6.2087248)
Calle 7;(-75.5665726, 6.2063794);(-75.5663884, 6.2065083);24.901;True;0.3021730539710254;LINESTRING (-75.5665726 6.2063794, -75.56638839999999 6.2065083)
;(-75.5665726, 6.2063794);(-75.5670428, 6.2070817);93.878;False;0.3021730539710254;LINESTRING (-75.5665726 6.2063794, -75.56665340000001 6.2065227, -75.5668465 6.2067946, -75.5669693 6.2069743, -75.5670428 6.2070817)
Carrera 35A;(-75.5665726, 6.2063794);(-75.5662706, 6.2058484);70.151;False;0.3021730539710254;LINESTRING (-75.5665726 6.2063794, -75.5665533 6.2063033, -75.56653129999999 6.2062378, -75.56651859999999 6.2061467, -75.5664761 6.2060624, -75.5664179 6.2059841, -75.5663459 6.2059213, -75.5662706 6.2058484)
Carrera 39;(-75.5685931, 6.2073652);(-75.5686884, 6.2063927);108.671;False;0.3021730539710254;LINESTRING (-75.5685931 6.2073652, -75.5686326 6.2070557, -75.5686884 6.2063927)
Carrera 39;(-75.5685931, 6.2073652);(-75.5684027, 6.2078564);58.551;False;0.3021730539710254;LINESTRING (-75.5685931 6.2073652, -75.5685577 6.2074687, -75.568451 6.2077426, -75.56840269999999 6.2078564)
;(-75.5685931, 6.2073652);(-75.5703436, 6.2077406);263.003;False;0.3021730539710254;LINESTRING (-75.5685931 6.2073652, -75.5688973 6.2074138, -75.5689196 6.2075338, -75.56894029999999 6.2076589, -75.5688962 6.2077078, -75.5688662 6.207755, -75.5688421 6.2078081, -75.56885509999999 6.2078561, -75.5688739 6.2079018, -75.5692581 6.2077403, -75.5693795 6.2076927, -75.5696245 6.2076798, -75.569903 6.2077148, -75.5701404 6.2077407, -75.5701691 6.2077392, -75.5702063 6.2077439, -75.5702424 6.2077788, -75.5702752 6.2077666, -75.57030949999999 6.2077424, -75.5703436 6.2077406)
Calle 6;(-75.5739582, 6.2081811);(-75.5744218, 6.2079202);60.124;False;0.5265393126661695;LINESTRING (-75.57395820000001 6.2081811, -75.5740522 6.208075, -75.5742604 6.2079759, -75.5744218 6.2079202)
Calle 6;(-75.5739582, 6.2081811);(-75.5731673, 6.2082318);88.061;False;0.5265393126661695;LINESTRING (-75.57395820000001 6.2081811, -75.5735818 6.2082095, -75.5734101 6.2082436, -75.573296 6.2082488, -75.57316729999999 6.2082318)
